superDepartmentName	departmentName	aisleName	shelfName
Italok	Sör, cider	Világos sörök	Pet
Italok	Víz	Enyhén dúsított ásványvíz	Nagy kiszerelés
Italok	Hazai fehérborok	Félédes fehérborok	Pannon
Italok	Kakaó és forró csokoládé	Forró csokoládé	Dolce Gusto kompatibilis
Italok	Hazai fehérborok	Édes fehérborok	Balaton
Italok	Hazai fehérborok	Félszáraz fehérborok	Tokaji
Italok	Nemzetközi borok	Vörösborok	Franciaország
Italok	Kávé	2in1/3in1 kávé	Extra krémes
Italok	Szeszes italok	Vermouth	Vermouth
Italok	Nemzetközi borok	Fehérborok	Dél Afrika
Italok	Nemzetközi borok	Fehérborok	Spanyolország
Italok	Hazai roséborok	Félédes roséborok	Duna
Italok	Szeszes italok	Pálinka	Barack pálinka
Italok	Nemzetközi borok	Roséborok	Spanyolország
Italok	Hazai vörösborok	Édes vörösborok	Balaton
Italok	Nemzetközi borok	Vörösborok	Olaszország
Italok	Szeszes italok	Pálinka	Cseresznye, meggy, ribizli pálinka
Italok	Víz	Speciális víz	Gyógyvíz
Italok	Szeszes italok	Pálinka	Körte pálinka
Italok	Nemzetközi borok	Roséborok	Moldávia
Italok	Sör, cider	Alkoholmentes sörök és alkoholmentes ízesített sörök	Alkoholmentes sörök
Italok	Kávé	2in1/3in1 kávé	Extra erős
Italok	Kávé	2in1/3in1 kávé	Ízesített
Italok	Nemzetközi borok	Vörösborok	Dél Afrika
Italok	Hazai roséborok	Édes roséborok	Felső-Magyarország
Italok	Hazai roséborok	Félédes roséborok	Balaton
Italok	Szeszes italok	Tequila	Tequila alapú szeszesital
Italok	Sör, cider	Sörkülönlegességek	Búzasörök
Italok	Kávé	Őrölt-pörkölt kávé	150g
Italok	Kávé	Koffeinmentes kávé	Dolce Gusto kompatibilis
Italok	Hazai roséborok	Édes roséborok	Balaton
Italok	Víz	Babavíz	Babavíz
Italok	Hazai roséborok	Félédes roséborok	Felső-Magyarország
Italok	Kávé	2in1/3in1 kávé	Barna cukor tartalmú
Italok	Nemzetközi borok	Vörösborok	Argentína
Italok	Kávé	Instant Kávé	Brasero
Italok	Nemzetközi borok	Vörösborok	Ausztrália
Italok	Nemzetközi borok	Vörösborok	Portugália
Italok	Kakaó és forró csokoládé	Kakaó	Ízesített
Italok	Gyöngyözőborok	Száraz gyöngyözőborok	Száraz gyöngyözőborok
Italok	Hazai fehérborok	Édes fehérborok	Felső-Magyarország
Italok	Nemzetközi borok	Fehérborok	Németország
Pékáru	Sütemény	Édes sütemények	Édes sütemények
Pékáru	Friss pékáru	Reggeliző termék	Reggeliző termék
Pékáru	Tartós pékáru	Édes pékáru	Édes pékáru
Pékáru	Gluténmentes	Gluténmentes	Gluténmentes csomagolt
Pékáru	Sütemény	Torta	Torta
Pékáru	Tartós pékáru	Toast kenyér	Toast kenyér
Pékáru	Tartós pékáru	Tortilla	Tortilla
Pékáru	Tartós pékáru	Süteményalap	Süteményalap
Pékáru	Tartós pékáru	Csomagolt, szeletelt kenyér	Csomagolt, szeletelt kenyér
Pékáru	BBQ	BBQ	BBQ
Pékáru	Friss pékáru	Fánk	Fánk
Pékáru	Friss pékáru	Szendvicsalap	Szendvicsalap
Pékáru	Sütemény	Sós sütemények	Sós sütemények
Pékáru	Tartós pékáru	Szendvicsalap	Szendvicsalap
Pékáru	Friss pékáru	Kenyér	Kenyér
Pékáru	Tartós pékáru	Kalács	Kalács
Pékáru	Speciális étrend	Speciális étrend	Speciális étrend
Pékáru	Sütemény	Desszert	Desszert
Speciális táplálkozás	BIO	Sütés, főzés	Sütés, főzés
Speciális táplálkozás	Gluténmentes	Gabonapehely, zabkása	Gabonapehely, zabkása
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú sajtpótlók	Növényi alapú sajtpótlók
Speciális táplálkozás	Hozzáadott cukor mentes	Édesség és rágcsálnivaló	Édesség és rágcsálnivaló
Speciális táplálkozás	Vegetáriánus és vegán	Sütés, főzés	Főzőkrém
Speciális táplálkozás	Vegetáriánus és vegán	Desszertek	Desszertek
Speciális táplálkozás	Laktózmentes	Vaj, vajkrém	Vaj
Speciális táplálkozás	Vegetáriánus és vegán	Humusz, krémek, saláták	Növényi alapú krém
Speciális táplálkozás	Gluténmentes	Tészták	Tészták
Speciális táplálkozás	Gluténmentes	Sütés, főzés	Sütés, főzés
Speciális táplálkozás	Növényi italok	Mandulaital	Mandulaital
Speciális táplálkozás	Vegetáriánus és vegán	Reggelizőpelyhek, kásák, müzlik	Reggelizőpelyhek, kásák, müzlik
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú húspótlók	Növényi alapú húspótlók, snackek
Speciális táplálkozás	Laktózmentes	Joghurt, joghurtital, desszert	Joghurt
Speciális táplálkozás	Laktózmentes	Tejföl, kefír, túró, tejszín	Tejföl
Speciális táplálkozás	Hozzáadott cukor mentes	Joghurt, joghurtital, desszert	Desszert
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú szeletek, porok	Magas fehérjetartalmú szeletek, porok
Speciális táplálkozás	BIO	Tejföl, kefír, túró, tejszín	Tejföl
Speciális táplálkozás	BIO	Tejek, tejitalok	UHT tej
Speciális táplálkozás	Hozzáadott cukor mentes	Joghurt, joghurtital, desszert	Joghurt
Speciális táplálkozás	Laktózmentes	Sajt, sajtkrém	Sajt
Speciális táplálkozás	Gluténmentes	Édesség	Édesség
Speciális táplálkozás	BIO	Rágcsálnivaló	Rágcsálnivaló
Speciális táplálkozás	Gluténmentes	Rágcsálnivaló	Rágcsálnivaló
Speciális táplálkozás	Laktózmentes	Joghurt, joghurtital, desszert	Desszert
Speciális táplálkozás	Növényi italok	Zabital	Zabital
Speciális táplálkozás	BIO	Alkoholmentes italok	Alkoholmentes italok
Speciális táplálkozás	Gluténmentes	Instant ételek	Instant ételek
Speciális táplálkozás	Vegetáriánus és vegán	Sütés, főzés	Sütés, főzés
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú joghurt, joghurtital, desszert	Desszert
Speciális táplálkozás	Hozzáadott cukor mentes	Édesítők	Édesítők
Speciális táplálkozás	Vegetáriánus és vegán	Tofu, szója	Tofu, szója
Speciális táplálkozás	Gluténmentes	Pékáru	Kenyér
Speciális táplálkozás	Egyéb egészséges	Egyéb egészséges	Egyéb egészséges
Speciális táplálkozás	Vegetáriánus és vegán	Édesség, rágcsálnivaló	Édesség, rágcsálnivaló
Speciális táplálkozás	Laktózmentes	Vaj, vajkrém	Margarin
Speciális táplálkozás	Vegetáriánus és vegán	Humusz, krémek, saláták	Humusz
Speciális táplálkozás	Laktózmentes	Tejek, tejitalok	UHT tej
Speciális táplálkozás	Növényi italok	Kókuszital	Kókuszital
Speciális táplálkozás	Vegetáriánus és vegán	Készételek	Készételek
Speciális táplálkozás	Hozzáadott cukor mentes	Tejföl, kefír, túró, tejszín	Tejszín
Speciális táplálkozás	Sportétrend kiegészítők	Egyéb magas fehérjetartalmú ételek	Egyéb magas fehérjetartalmú ételek
Speciális táplálkozás	Növényi italok	Rizsital	Rizsital
Speciális táplálkozás	Laktózmentes	Tejek, tejitalok	Ízesített ital
Speciális táplálkozás	Laktózmentes	Tejföl, kefír, túró, tejszín	Túró
Speciális táplálkozás	Növényi italok	Szójaital	Szójaital
Speciális táplálkozás	Hozzáadott cukor mentes	Italok	Italok
Speciális táplálkozás	Kétszersültek, rágcsálnivalók, szeletek	Puffasztott rizs, extrudált kenyér	Puffasztott rizs, extrudált kenyér
Speciális táplálkozás	Vegetáriánus és vegán	Sütés, főzés	Vegaföl
Speciális táplálkozás	Kétszersültek, rágcsálnivalók, szeletek	Szeletek	Szeletek
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú tejitalok	Ízesített tejital
Speciális táplálkozás	Laktózmentes	Vaj, vajkrém	Vajkrém
Speciális táplálkozás	BIO	Tészták és rizs	Tészták és rizs
Speciális táplálkozás	Laktózmentes	Tejföl, kefír, túró, tejszín	Tejszín
Speciális táplálkozás	Gluténmentes	Pékáru	Sós pékáru
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú joghurt, joghurtital, desszert	Joghurtital
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú húspótlók	Szendvicsfeltét
Speciális táplálkozás	Gluténmentes	Fagyasztott termékek	Fagyasztott termékek
Speciális táplálkozás	Hozzáadott cukor mentes	Tejek, tejitalok	Ízesített ital
Speciális táplálkozás	BIO	Gabonafélék, hüvelyesek	Gabonafélék, hüvelyesek
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú italok	Növényi alapú italok
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú joghurt, joghurtital, desszert	Joghurt
Speciális táplálkozás	Sportétrend kiegészítők	Étrendkiegészítők	Étrendkiegészítők
Speciális táplálkozás	Laktózmentes	Joghurt, joghurtital, desszert	Joghurtital
Speciális táplálkozás	Vegetáriánus és vegán	Joghurt, joghurtital	Joghurt
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú húspótlók	Vegán rudak
Speciális táplálkozás	BIO	Tejföl, kefír, túró, tejszín	Kefír
Speciális táplálkozás	Gluténmentes	Alkoholos italok	Alkoholos italok
Speciális táplálkozás	Vegetáriánus és vegán	Fagyasztott termékek	Fagyasztott készételek
Speciális táplálkozás	Kétszersültek, rágcsálnivalók, szeletek	Rágcsálnivalók	Rágcsálnivalók
Speciális táplálkozás	Hozzáadott cukor mentes	Sütés, főzés	Sütés, főzés
Speciális táplálkozás	Laktózmentes	Tejek, tejitalok	Friss tej
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú sajtok	Sajt
Speciális táplálkozás	Laktózmentes	Sajt, sajtkrém	Sajtkrém
Speciális táplálkozás	Laktózmentes	Tejföl, kefír, túró, tejszín	Kefír
Speciális táplálkozás	Vegetáriánus és vegán	Sütés, főzés	Egyéb növényi krém
Speciális táplálkozás	Gluténmentes	Pékáru	Édes pékáru
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú tejitalok	Magas fehérjetartalmú tejitalok
Speciális táplálkozás	Sportétrend kiegészítők	Zabszeletek	Zabszeletek
Speciális táplálkozás	Hozzáadott cukor mentes	Joghurt, joghurtital, desszert	Joghurtital
Speciális táplálkozás	BIO	Joghurt, joghurtital, desszert	Joghurtok
Speciális táplálkozás	Vegetáriánus és vegán	Sütés, főzés	Habkrém
Speciális táplálkozás	Vegetáriánus és vegán	Fagyasztott termékek	Jégkrém
Speciális táplálkozás	Vegetáriánus és vegán	Humusz, krémek, saláták	Vaj helyettesítő / Vegán vaj
Speciális táplálkozás	Vegetáriánus és vegán	Növényi alapú húspótlók	Vegán szalámi
Speciális táplálkozás	BIO	Édesség	Édesség
Speciális táplálkozás	BIO	Kávé, tea, kakaó	Kávé, tea, kakaó
Speciális táplálkozás	Vegetáriánus és vegán	Szószok, öntetek	Szószok, öntetek
Speciális táplálkozás	Sportétrend kiegészítők	Magas fehérjetartalmú tejitalok	Nem ízesített tejital
Speciális táplálkozás	BIO	Alkoholos italok	Alkoholos italok
Tejtermékek, tojás	Sajtok és túró	Specialitások	Specialitások
Tejtermékek, tojás	Joghurtok	Ízesített joghurtok	Kis poharas joghurt
Tejtermékek, tojás	Sajtok és túró	Ömlesztett sajtok	Ömlesztett sajtok
Tejtermékek, tojás	Vaj, margarin	Vaj, vajkrém	Vajkrém és körözött
Tejtermékek, tojás	Tejdesszertek	Tejtermékek gyerekeknek	Tejtermékek gyerekeknek
Tejtermékek, tojás	Tejdesszertek	Puding	Puding
Tejtermékek, tojás	Tejek, tejitalok	Kávé ízesítésű italok	Kávé ízesítésű italok
Tejtermékek, tojás	Tejek, tejitalok	Tartós tejitalok	Tartós tejitalok
Tejtermékek, tojás	Tejdesszertek	Krémtúró	Krémtúró
Tejtermékek, tojás	Tejföl, kefír, tejszín	Tejföl	10% - 15% zsírtartalmú tejföl és növényi zsíros termék
Tejtermékek, tojás	Vaj, margarin	Margarin	Csészés margarin
Tejtermékek, tojás	Tejek, tejitalok	Hűtést igénylő tejek	Hűtést igénylő tejek
Tejtermékek, tojás	Sajtok és túró	Reszelt sajtok	Reszelt sajtok
Tejtermékek, tojás	Joghurtok	Joghurt italok	Kis ivójoghurtok
Tejtermékek, tojás	Sajtok és túró	Félkemény sajtok	Félkemény sajtok
Tejtermékek, tojás	Tejek, tejitalok	Friss tejitalok	Friss tejitalok
Tejtermékek, tojás	Tejdesszertek	Túródesszertek	Túródesszertek
Tejtermékek, tojás	Sajtok és túró	Szeletelt sajtok	Szeletelt sajtok
Tejtermékek, tojás	Joghurtok	Ízesített joghurtok	Multipack kiszerelés
Tejtermékek, tojás	Sajtok és túró	Pultos sajtok	Pultban kapható sajtok
Tejtermékek, tojás	Sajtok és túró	Saláta, friss sajtok	Saláta, friss sajtok
Tejtermékek, tojás	Tejföl, kefír, tejszín	Tejszín	Tejszín
Tejtermékek, tojás	Tejföl, kefír, tejszín	Kefír	Poharas kefírek
Tejtermékek, tojás	Tejek, tejitalok	Tartós tejek	0,1% - 1,5% zsírtartalmú tejek
Tejtermékek, tojás	Tojás	Tojás	Tojás
Tejtermékek, tojás	Sajtok és túró	Sajtok uzsonnára	Sajtok uzsonnára
Tejtermékek, tojás	Joghurtok	Natúr és görög joghurtok	Natúr és görög joghurtok
Tejtermékek, tojás	Tejföl, kefír, tejszín	Tejföl	20% - 25% zsírtartalmú tejföl
Tejtermékek, tojás	Joghurtok	Élőflórás joghurtok	Élőflórás joghurtok
Tejtermékek, tojás	Sajtok és túró	Túró	Túrók
Tejtermékek, tojás	Tejdesszertek	Tejberizs, tejbegríz	Tejberizs, tejbegríz
Tejtermékek, tojás	Joghurtok	Joghurt italok	Nagy ivójoghurtok
Tejtermékek, tojás	Joghurtok	Ízesített joghurtok	Nagy poharas joghurt
Tejtermékek, tojás	Vaj, margarin	Vaj, vajkrém	Vaj
Tejtermékek, tojás	Sajtok és túró	Fehérpenészes sajtok	Fehérpenészes sajtok
Tejtermékek, tojás	Élesztő	Élesztő	Élesztő
Tejtermékek, tojás	Tejdesszertek	Kész desszertek	Kész desszertek
Tejtermékek, tojás	Tejföl, kefír, tejszín	Kefír	Kaukázusi kefírek
Tejtermékek, tojás	Sajtok és túró	Kékpenészes sajtok	Kékpenészes sajtok
Tejtermékek, tojás	Tejföl, kefír, tejszín	Alternatív tejföl, kefír, tejszín	Laktózmentes
Tejtermékek, tojás	Sajtok és túró	Kecske-, juhsajtok	Kecske-, juhsajtok
Tejtermékek, tojás	Vaj, margarin	Margarin	Sütőmargarin
Tejtermékek, tojás	Sajtok és túró	Kemény sajtok	Kemény sajtok
Tejtermékek, tojás	Tejek, tejitalok	Tartós tejek	2,8%-3,5% zsírtartalmú tejek
Tejtermékek, tojás	Sajtok és túró	Grill sajtok	Grill sajtok
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Egyéb aszalt gyümölcs
Zöldség. gyümölcs	Zöldségek	Savanyúság	Vegyes savanyúság
Zöldség. gyümölcs	Zöldségek	Savanyúság	Káposzta
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Magkeverékek
Zöldség. gyümölcs	Zöldségek	Paradicsom	Hagyományos paradicsom
Zöldség. gyümölcs	Zöldségek	Paprika	Egyéb színű paprika
Zöldség. gyümölcs	Zöldségek	Sárgarépa	Sárgarépa
Zöldség. gyümölcs	Zöldségek	Savanyúság	Paprika
Zöldség. gyümölcs	Zöldségek	Savanyúság	Uborka
Zöldség. gyümölcs	Zöldségek	Savanyúság	Egyéb savanyúság
Zöldség. gyümölcs	Friss gyümölcslé és smoothie	Friss gyümölcslé és smoothie	Smoothie
Zöldség. gyümölcs	Zöldségek	Burgonya	Piros burgonya
Zöldség. gyümölcs	Gyümölcsök	Szárított gyümölcsök	Szárított gyümölcsök
Zöldség. gyümölcs	Gyümölcsök	Banán	Banán
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Földimogyoró
Zöldség. gyümölcs	Gyümölcsök	Körte és alma	Körte
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Datolya és füge
Zöldség. gyümölcs	Gyümölcsök	Körte és alma	Alma
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Mandula
Zöldség. gyümölcs	Gyümölcsök	Darabolt gyümölcsök	Darabolt gyümölcsök
Zöldség. gyümölcs	Zöldségek	Paprika	Erőspaprika
Zöldség. gyümölcs	Gyümölcsök	Csonthéjas gyümölcsök	Őszibarack
Zöldség. gyümölcs	Saláta	Saláta	Előcsomagolt salátakeverék
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Áfonya
Zöldség. gyümölcs	Gyümölcsök	Bogyós gyümölcsök	Bogyós gyümölcsök
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Mazsola
Zöldség. gyümölcs	Gyümölcsök	Dinnye	Dinnye
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Kajszibarack és szilva
Zöldség. gyümölcs	Gyümölcsök	Szőlő	Fehér szőlő
Zöldség. gyümölcs	Saláta	Saláta	Egyéb saláták
Zöldség. gyümölcs	Zöldségek	Káposztafélék	Káposzta
Zöldség. gyümölcs	Gyümölcsök	Szárított gyümölcsök	Egyéb száritott gyümölcsök
Zöldség. gyümölcs	Gyümölcsök	Csonthéjas gyümölcsök	Kajszibarack
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Pisztácia
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Alma
Zöldség. gyümölcs	Gomba	Gomba	Egyéb gombafélék
Zöldség. gyümölcs	Friss gyümölcslé és smoothie	Friss gyümölcslé és smoothie	Friss gyümölcslevek
Zöldség. gyümölcs	Gyümölcsök	Egzotikus gyümölcsök	Egyéb egzotikus gyümölcs
Zöldség. gyümölcs	Gomba	Gomba	Csiperkegomba
Zöldség. gyümölcs	Zöldségek	Szezonális zöldségek	Cukkini és padlizsán
Zöldség. gyümölcs	Gyümölcsök	Csonthéjas gyümölcsök	Nektarin
Zöldség. gyümölcs	Gyümölcsök	Szőlő	Piros szőlő
Zöldség. gyümölcs	Zöldségek	Szezonális zöldségek	Tökfélék
Zöldség. gyümölcs	Zöldségek	Zeller	Zeller
Zöldség. gyümölcs	Zöldségek	Fűszernövény és friss chili	Csomagolt fűszernövények
Zöldség. gyümölcs	Zöldségek	Burgonya	Édesburgonya
Zöldség. gyümölcs	Zöldségek	Burgonya	Sárga burgonya
Zöldség. gyümölcs	Zöldségek	Paradicsom	Egyéb paradicsom
Zöldség. gyümölcs	Bio, organikus	Gyümölcs	Gyümölcs
Zöldség. gyümölcs	Zöldségek	Hagyma és fokhagyma	Egyéb hagyma
Zöldség. gyümölcs	Gyümölcsök	Dinnye	Különleges dinnye
Zöldség. gyümölcs	Zöldségek	Hagyma és fokhagyma	Fokhagyma
Zöldség. gyümölcs	Saláta	Saláta	Salátafélék
Zöldség. gyümölcs	Saláta	Saláta	Spenót
Zöldség. gyümölcs	Gyümölcsök	Egzotikus gyümölcsök	Mangó
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Diófélék
Zöldség. gyümölcs	Zöldségek	Fűszernövény és friss chili	Cserepes fűszernövény
Zöldség. gyümölcs	Gyümölcsök	Csonthéjas gyümölcsök	Szilva
Zöldség. gyümölcs	Gyümölcsök	Citrusok	Grapefruit
Zöldség. gyümölcs	Zöldségek	Karalábé, fehérrépa, retek, cékla	Karalábé és ferhérrépa
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Aszalt gyümölcs	Banán
Zöldség. gyümölcs	Zöldségek	Uborka	Uborka
Zöldség. gyümölcs	Gyümölcsök	Citrusok	Citrom
Zöldség. gyümölcs	Gyümölcsök	Citrusok	Narancs
Zöldség. gyümölcs	Gyümölcsök	Szőlő	Szőlő mixek
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Kesudió
Zöldség. gyümölcs	Gyümölcsök	Egzotikus gyümölcsök	Kiwi
Zöldség. gyümölcs	Zöldségek	Fűszernövény és friss chili	Friss chili
Zöldség. gyümölcs	Zöldségek	Paradicsom	Koktélparadicsom
Zöldség. gyümölcs	Zöldségek	Hagyma és fokhagyma	Vöröshagyma
Zöldség. gyümölcs	Zöldségek	Szezonális zöldségek	Egyéb szezonális zöldség
Zöldség. gyümölcs	Zöldségek	Karalábé, fehérrépa, retek, cékla	Cékla
Zöldség. gyümölcs	Zöldségek	Karalábé, fehérrépa, retek, cékla	Retek
Zöldség. gyümölcs	Zöldségek	Káposztafélék	Kelkáposzta
Zöldség. gyümölcs	Gyümölcsök	Egzotikus gyümölcsök	Avokádó
Zöldség. gyümölcs	Zöldségek	Paprika	Sárga paprika
Zöldség. gyümölcs	Zöldségek	Paprika	Piros paprika
Zöldség. gyümölcs	Zöldségek	Brokkoli és karfiol	Karfiol
Zöldség. gyümölcs	Zöldségek	Brokkoli és karfiol	Brokkoli
Zöldség. gyümölcs	Gyümölcsök	Citrusok	Mandarin
Zöldség. gyümölcs	Aszalványok, magvak és keverékek	Magvak és keverékek	Egyéb magvak
Zöldség. gyümölcs	Zöldségek	Káposztafélék	Vöröskáposzta
